time,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
21.499,-175.0,190.0,192.0,15177.0,-1322.0,5325.0
21.7,333.0,1315.0,939.0,14706.0,-1471.0,5803.0
21.901,-366.0,13.0,-481.0,14745.0,-1659.0,5957.0
22.102,596.0,-346.0,373.0,15378.0,-1183.0,5911.0
22.303,542.0,2371.0,1130.0,14945.0,-1542.0,6205.0
22.504,66.0,-91.0,-879.0,14859.0,-1408.0,6356.0
22.705,93.0,463.0,-3154.0,14777.0,-888.0,6574.0
22.906,-1466.0,5527.0,-4234.0,13452.0,-65.0,6843.0
23.107,1503.0,4850.0,-3533.0,12714.0,398.0,9817.0
23.308,439.0,6206.0,-3525.0,10851.0,967.0,11397.0
23.509,-1133.0,9143.0,-3539.0,7580.0,2521.0,14509.0
23.71,-79.0,9236.0,-1673.0,3252.0,3154.0,15625.0
23.911,-254.0,8106.0,-676.0,-1208.0,2142.0,16649.0
24.112,-664.0,3782.0,-57.0,-3134.0,2357.0,15284.0
24.313,-580.0,1030.0,1002.0,-1517.0,2684.0,17500.0
24.514,-11.0,1117.0,461.0,-5649.0,2861.0,15594.0
24.715,-26.0,-116.0,602.0,-4616.0,3100.0,15640.0
24.916,-4.0,3.0,356.0,-6142.0,3255.0,14385.0
25.117,-731.0,-568.0,297.0,-6020.0,2960.0,14895.0
25.318,25.0,-411.0,1087.0,-4931.0,3188.0,15770.0
25.519,-1248.0,-836.0,-1823.0,-4842.0,3176.0,15408.0
25.72,-229.0,470.0,37.0,-5144.0,2424.0,15728.0
25.921,-5.0,147.0,165.0,-5502.0,2597.0,15350.0
26.122,-340.0,-262.0,-776.0,-4891.0,2558.0,15533.0
26.323,-176.0,30.0,-37.0,-5503.0,2305.0,15508.0
26.524,-200.0,-951.0,-256.0,-5763.0,2324.0,15478.0
26.725,2190.0,-5965.0,933.0,-4848.0,2320.0,15751.0
26.926,-1721.0,-10696.0,642.0,-425.0,2634.0,16205.0
27.127,-1226.0,-5757.0,-960.0,1556.0,1222.0,15339.0
27.328,-339.0,-5834.0,-1279.0,6648.0,2620.0,15902.0
27.529,369.0,-5033.0,-269.0,6326.0,1901.0,14573.0
27.73,-386.0,-6771.0,-972.0,9755.0,983.0,13224.0
27.931,504.0,-6594.0,1046.0,12615.0,2507.0,11924.0
28.132,1584.0,-4123.0,1114.0,12889.0,1374.0,9416.0
28.333,610.0,-2750.0,433.0,14111.0,2024.0,8256.0
28.534,-43.0,-1292.0,1159.0,14397.0,1546.0,7691.0
28.735,325.0,-433.0,1188.0,14331.0,946.0,7310.0
28.936,-405.0,-7.0,-153.0,14617.0,736.0,7256.0
29.137,-265.0,223.0,-206.0,14920.0,1367.0,7345.0
29.338,-230.0,162.0,-254.0,14466.0,1075.0,6990.0
29.539,-695.0,471.0,-1233.0,14495.0,983.0,7528.0
29.74,-787.0,441.0,-720.0,14598.0,1590.0,7812.0
29.941,6.0,2119.0,-1130.0,13993.0,1736.0,8296.0
30.142,536.0,5586.0,5268.0,14126.0,3159.0,9980.0
30.343,-53.0,3825.0,-974.0,12558.0,1723.0,11218.0
30.544,795.0,5694.0,2536.0,10385.0,1196.0,12268.0
30.745,1062.0,6355.0,-37.0,8445.0,531.0,13723.0
30.946,891.0,6958.0,475.0,6075.0,679.0,15589.0
31.147,1490.0,6971.0,1261.0,2516.0,1196.0,15806.0
31.348,1283.0,6602.0,-419.0,-449.0,1899.0,16378.0
31.549,1262.0,3893.0,476.0,-1836.0,1648.0,16652.0
31.75,498.0,2088.0,1075.0,-3304.0,2107.0,16512.0
31.951,-246.0,481.0,12.0,-3581.0,2183.0,15855.0
32.152,-162.0,-341.0,-235.0,-3548.0,2130.0,16051.0
32.353,-100.0,66.0,-102.0,-3773.0,2223.0,15941.0
32.554,48.0,14.0,-92.0,-3719.0,2138.0,16039.0
32.755,-114.0,-335.0,-278.0,-3793.0,2155.0,15959.0
32.956,-34.0,253.0,204.0,-3319.0,2151.0,15935.0
33.157,-228.0,-235.0,-36.0,-3807.0,2186.0,15795.0
33.358,-85.0,13.0,-269.0,-3452.0,2006.0,16030.0
33.559,-76.0,-35.0,102.0,-3409.0,1983.0,15993.0
33.76,-156.0,-123.0,-30.0,-3648.0,2023.0,15677.0
33.961,-68.0,7.0,89.0,-3439.0,1907.0,16120.0
34.162,-158.0,-28.0,136.0,-3462.0,2102.0,15943.0
34.363,-92.0,-2.0,38.0,-3656.0,1948.0,15899.0
34.564,102.0,411.0,219.0,-3672.0,1924.0,16005.0
34.765,-288.0,-392.0,93.0,-4001.0,1965.0,16274.0
34.966,373.0,1520.0,1029.0,-2595.0,1536.0,17098.0
35.167,2426.0,5724.0,717.0,-5435.0,2687.0,15548.0
35.368,3006.0,7555.0,1191.0,-7524.0,3884.0,13928.0
35.569,2358.0,4790.0,541.0,-10895.0,5016.0,11009.0
35.77,870.0,2792.0,180.0,-11872.0,5781.0,9593.0
35.971,-323.0,-414.0,-432.0,-12426.0,5686.0,9257.0
36.172,532.0,1611.0,-10.0,-12128.0,5674.0,9470.0
36.373,1847.0,5174.0,-506.0,-13280.0,5905.0,7971.0
36.574,1780.0,3434.0,-691.0,-14226.0,6288.0,5366.0
36.775,608.0,1869.0,254.0,-14727.0,6695.0,3926.0
36.976,-62.0,830.0,60.0,-14617.0,6561.0,3575.0
37.177,39.0,1134.0,-341.0,-15056.0,6554.0,2951.0
37.378,187.0,1662.0,428.0,-15080.0,6471.0,3099.0
37.579,-151.0,561.0,-367.0,-15508.0,6795.0,1552.0
37.78,-56.0,678.0,-132.0,-15049.0,6517.0,1609.0
37.981,-497.0,-908.0,-858.0,-15523.0,6285.0,1634.0
38.182,-1232.0,-6039.0,-2830.0,-14884.0,6185.0,1744.0
38.383,-1026.0,-7403.0,-2639.0,-14673.0,3544.0,6391.0
38.584,-1104.0,-12213.0,-1637.0,-12259.0,2171.0,10510.0
38.785,-258.0,-9037.0,-2570.0,-9939.0,1679.0,13039.0
38.986,-579.0,-7431.0,-698.0,-7266.0,1228.0,14933.0
39.187,-1101.0,-4419.0,-1609.0,-4708.0,405.0,15658.0
39.388,-91.0,-5225.0,-713.0,-3356.0,-604.0,16408.0
39.589,-561.0,-2504.0,-321.0,-1487.0,-146.0,16324.0
39.79,633.0,-6762.0,349.0,74.0,-911.0,17612.0
39.991,7720.0,-7450.0,-1362.0,5200.0,2173.0,15909.0
40.192,1136.0,-7965.0,-2719.0,6529.0,833.0,16018.0
40.393,-1034.0,-5322.0,536.0,10975.0,871.0,12484.0
40.594,-10284.0,-1534.0,8943.0,13127.0,393.0,12138.0
40.795,-1712.0,-4254.0,2108.0,15779.0,-3077.0,11554.0
40.996,2883.0,-1215.0,-3589.0,13544.0,-1018.0,9175.0
41.197,-443.0,-2099.0,-211.0,15599.0,-347.0,8643.0
41.398,-309.0,-913.0,-70.0,14360.0,-558.0,8169.0
41.599,-225.0,-669.0,-68.0,14412.0,-558.0,7836.0
41.8,-181.0,-584.0,-68.0,14511.0,-545.0,7545.0
42.001,-205.0,-550.0,-28.0,14617.0,-574.0,7328.0
42.202,-184.0,-539.0,-22.0,14792.0,-577.0,7090.0
42.403,-53.0,-435.0,-134.0,14876.0,-511.0,6885.0
42.604,-170.0,-385.0,-50.0,14824.0,-547.0,6693.0
42.805,-159.0,-366.0,11.0,14972.0,-597.0,6579.0
43.006,-163.0,-353.0,131.0,15042.0,-587.0,6418.0
43.207,-180.0,-322.0,48.0,15046.0,-559.0,6295.0
43.408,-255.0,-275.0,166.0,15084.0,-690.0,6193.0
43.609,-128.0,-270.0,31.0,15232.0,-744.0,6062.0
43.81,-103.0,-230.0,13.0,15226.0,-704.0,5932.0
44.011,-120.0,-221.0,32.0,15247.0,-732.0,5871.0
44.212,18.0,-154.0,-126.0,15275.0,-689.0,5783.0
